C,H,N,O,SC,TEMP,P,RT,H2
48.9,6.2,1,40.6,10,600,25,50,42
48.9,6.2,1,40.6,15,600,25,50,40
48.9,6.2,1,40.6,20,600,25,50,30
48.9,6.2,1,40.6,25,600,25,50,22
48.9,6.2,1,40.6,30,600,25,50,20
48.9,6.2,1,40.6,5,500,20,50,51
48.9,6.2,1,40.6,5,600,25,50,45
48.9,6.2,1,40.6,5,600,30,50,42
48.9,6.2,1,40.6,5,600,35,50,41
48.9,6.2,1,40.6,4,650,17.5,27,15
48.9,6.2,1,40.6,4,650,20,27,16
48.9,6.2,1,40.6,4,650,22.5,27,15
48.9,6.2,1,40.6,4,650,25,27,16
48.9,6.2,1,40.6,4,650,27.5,27,17
48.9,6.2,1,40.6,4,650,30,27,18
48.9,6.2,1,40.6,4,650,25,15,13
48.9,6.2,1,40.6,4,650,25,20,14
48.9,6.2,1,40.6,4,650,25,25,15
48.9,6.2,1,40.6,4,650,25,30,15
48.9,6.2,1,40.6,4,650,25,35,16
48.9,6.2,1,40.6,4,650,25,40,17
48.9,6.2,1,40.6,4,650,25,45,18
40,6.7,0,53.3,11,600,20,50,9.5
40,6.7,0,53.3,11,600,22.5,50,9
40,6.7,0,53.3,11,600,25,50,8.5
40,6.7,0,53.3,11,600,27.5,50,8.3
40,6.7,0,53.3,11,600,30,50,8
40,6.7,0,53.3,11,600,32.5,50,7.8
40,6.7,0,53.3,11,600,35,50,7.5
40,6.7,0,53.3,11,600,28,50,14.5
40,6.7,0,53.3,11,600,28,16,2.9
40,6.7,0,53.3,11,750,28,19,26.3
40,6.7,0,53.3,11,600,28,15,2.8
40,6.7,0,53.3,11,600,28,20,5.5
40,6.7,0,53.3,11,600,28,25,8.3
40,6.7,0,53.3,11,600,28,30,9.9
40,6.7,0,53.3,11,600,28,35,11
40,6.7,0,53.3,11,600,28,40,13.8
40,6.7,0,53.3,11,600,28,45,15.4
40,6.7,0,53.3,11,600,28,50,16.5
40,6.7,0,53.3,11,700,28,15,27.5
40,6.7,0,53.3,11,700,28,20,33.6
40,6.7,0,53.3,11,700,28,25,34.1
40,6.7,0,53.3,11,700,28,30,34.7
40,6.7,0,53.3,11,700,28,35,35.2
40,6.7,0,53.3,11,700,28,40,35.8
40,6.7,0,53.3,11,700,28,45,35.8
40,6.7,0,53.3,11,700,28,50,36.3
42.11,6.48,0,51.41,0.5,550,22.5,90,5.3
42.11,6.48,0,51.41,1,550,22.5,90,2.9
